Date,HML,SG,SV,BG,BV,MOM,SL,SH,BL,BH
192701,4.54,-0.7991,3.9316,-0.2621,4.0885,0.36,0.08,0.4,-0.4,0
192702,2.94,3.7129,6.6192,5.0044,7.988,-2.14,7.01,5.51,7.27,4.47
192703,-2.61,-1.8324,-3.1676,1.3025,-2.5908,3.61,-3.46,-2.06,-3.57,2.26
192704,0.81,-1.671,3.4796,3.051,-0.4809,4.3,-0.75,3.32,-2.72,1.81
192705,4.73,5.4766,13.3256,5.4076,7.0144,3,2.48,6.83,5.52,7.18
192706,-1.73,-1.5481,-3.9474,-0.9628,-2.0151,0.6,-2.12,-2.88,-3.82,-1.86
192707,-1.14,4.2702,3.9846,9.2637,7.2603,4.31,3.09,6.91,4.53,9.33
192708,-3.74,2.4503,0.86,3.9309,-1.9651,1.36,-0.34,0.29,1.21,3.3
192709,-0.63,2.2496,0.399,5.3697,5.9674,1.98,2.48,3.19,3.02,6.27
192710,-4.33,-0.2072,-5.8357,-3.5889,-6.6219,-0.87,-4.99,-3.33,-2.11,-5.5
192711,-0.27,10.3238,10.2275,7.0845,6.6346,-0.51,11.28,7.02,5.12,8.37
192712,-1.13,5.701,2.4506,2.4925,3.4755,3.21,0.27,4.53,1.23,3.41
192801,-0.75,3.2211,3.5948,-0.4427,-2.3168,-0.52,2.78,0.66,-1.91,-0.83
192802,-0.65,-4.8858,-4.1271,-0.6772,-2.7296,-1.09,-3.56,-4.81,-0.81,-1.74
192803,-1.22,7.3978,9.457,12.3241,7.8254,4.7,6.9,7.7,6.75,15.35
192804,3.44,4.665,9.9723,2.9336,4.4979,-4.41,8.68,5.99,8.19,2.05
192805,-3.27,7.1742,2.574,2.575,0.6388,3.02,2.77,4.01,-1.55,3.24
192806,-0.03,-8.5829,-6.8294,-3.604,-5.4164,2.04,-9.33,-6.35,-5.19,-4.09
192807,-0.5,-0.4048,-0.8867,1.359,0.8312,2.65,-1.69,2.05,0.01,1.56
192808,-2.15,6.124,3.699,8.7368,6.8565,3.54,5.1,6.29,4.33,10.22
192809,0.86,5.7317,6.1762,2.9576,4.2317,3.45,4.19,7.29,1.36,5.16
192810,-2.16,6.8299,1.6621,1.359,2.1979,5.1,0.23,7.29,0.73,3.88
192811,2.7,8.6705,12.2831,11.1602,12.9505,2.09,9.97,10.62,8.64,12.15
192812,-0.65,0.9055,-0.6462,0.9332,1.1879,1.54,-2.67,-1.74,-0.47,1.67
192901,-1.24,-0.034,1.448,6.5262,2.5673,2.45,-0.11,2.84,3.85,5.79
192902,1.66,0.7414,0.382,-0.5791,3.0915,3.05,-0.28,3.19,-1.53,1.1
192903,1.58,-5.9533,-4.0571,-1.3835,-0.1243,-0.64,-4.33,-3.8,0.78,-1.03
192904,0.59,-0.0822,0.5004,2.2172,2.808,1.91,1.74,1.9,-0.97,2.69
192905,-1.42,-10.2009,-12.5598,-5.7297,-6.2127,-2.04,-11.2,-11.98,-3.61,-6.91
192906,-2.79,6.9673,6.4064,12.4593,7.4384,8.6,4.25,10.38,3.34,14.4
192907,2.71,-0.0602,3.8633,3.5656,5.0527,2.96,0.52,2.24,0.78,4.98
192908,0.13,-0.7741,-0.4544,7.272,7.2052,4.7,-1.37,1.87,5.09,11.24
192909,-0.65,-4.2711,-3.6218,-4.4211,-6.3661,2.97,-5.76,-1.87,-7.4,-5.35
192910,7.78,-21.5559,-19.8329,-24.1865,-10.3484,4.1,-24.33,-23.22,-27.88,-20.79
192911,5.05,-16.1934,-12.3366,-14.2535,-8.0015,-2.39,-12.6,-18.17,-14.24,-13.45
192912,-0.54,-2.7485,-1.8488,3.3988,1.4208,5.19,-7.78,-0.45,0.09,3.15
193001,-0.96,6.0455,8.4631,7.1735,2.8433,-5.16,17.84,6.7,4.31,5.13
193002,0.2,1.7451,4.3779,3.4639,1.2229,0.62,3.69,2.95,0.88,2.87
193003,0.33,8.6368,10.7647,6.816,5.3421,-4.42,12.47,6.4,9.91,7.14
193004,-0.35,-7.0717,-3.4814,-2.361,-6.6589,3.98,-5.5,-2.04,-5.94,-1.44
193005,-0.73,-3.6161,-2.9578,0.7061,-1.4054,0.05,-6.27,-2.39,2.76,-1.02
193006,2.33,-17.4935,-18.9287,-17.849,-11.7533,6.64,-25.75,-16.74,-18.61,-14.35
193007,-1.75,6.5208,2.4342,4.7058,5.283,-2.19,4.71,3.06,5.77,3.05
193008,-0.61,-3.7646,-2.2723,1.0169,-1.6956,3.95,-3.92,0.82,-2.63,0.54
193009,-4.96,-13.6823,-18.7882,-12.3871,-17.1944,11.48,-20.41,-10.86,-23.2,-9.78
193010,-1.38,-10.1007,-10.6915,-9.3455,-11.5093,6.86,-12.75,-8.29,-16.4,-7.13
193011,-3.66,0.2231,-2.7361,-2.1847,-6.5408,-1.46,-2.29,-1.63,1.29,-2.28
193012,-5.25,-10.4113,-17.205,-6.0724,-9.7812,13.32,-21.43,-8.15,-17.56,-4.2
193101,7.12,9.8982,14.9795,4.5109,13.6747,-11.07,24.19,9.29,12.44,5.2
193102,1.92,13.1802,17.4089,12.511,12.1228,-14.47,21.52,10.73,25.81,7.66
193103,-3.44,-4.3393,-7.1311,-4.7492,-8.8363,9.46,-12.74,-2.27,-12.6,-4.15
193104,-3.82,-12.8802,-17.9722,-8.9215,-11.4677,11.4,-21.5,-10.6,-18.6,-6.71
193105,-6.57,-9.6516,-13.8027,-11.3507,-20.347,9.26,-17.22,-6.94,-20.04,-11.8
193106,11.29,10.1107,20.5193,13.0405,25.2073,-17.88,25.25,8.7,29.87,10.66
193107,-2.11,-8.5867,-5.7543,-5.1707,-12.2143,8.19,-11.57,-3.17,-11.91,-3.94
193108,-1.47,-1.6114,-3.7141,0.9,0.0531,-3.5,-1.38,-3.51,5.16,0.28
193109,-6.77,-26.5722,-33.8737,-28.8663,-35.1131,10.15,-39.36,-29.48,-36.76,-26.35
193110,1.7,4.2319,5.4616,9.5453,11.7214,3.27,10.07,12.12,4.13,8.61
193111,-5.04,-7.7335,-9.3774,-6.1307,-14.5665,7.54,-13.22,-8.76,-16.67,-6.05
193112,-8.85,-13.7987,-22.3956,-11.573,-20.6686,14.16,-26,-12.16,-24.15,-9.68
193201,9.03,2.4924,10.4927,-3.4315,6.6353,-10.87,14.33,1.89,6.92,-2.38
193202,-1.46,-2.4754,1.3694,7.1096,0.3507,1.59,2.45,4.85,5.49,6.27
193203,-2.32,-10.5259,-10.62,-10.2077,-14.746,9.92,-14.85,-6.9,-19.87,-7.98
193204,1.43,-19.3072,-16.0307,-18.1229,-18.5418,6.97,-22.07,-15.85,-22.91,-15.2
193205,-2.98,-17.1387,-16.8918,-19.2221,-25.436,12.28,-25.21,-20.47,-37.3,-17.48
193206,5.3,0.954,0.9934,-1.7165,8.8476,1.88,3.57,8.24,1.1,0.19
193207,35.61,31.5257,63.1945,28.1983,67.7486,-45.02,62.55,21.43,72.64,23.71
193208,34.24,46.2878,83.4957,31.3379,62.6122,-52.05,92.53,41.81,76.15,22.78
193209,-7.36,-1.6614,-12.4928,-1.0435,-4.9399,2.36,-10.64,-7.85,-5.28,-3.36
193210,-10.33,-15.8052,-23.8446,-10.7558,-23.3789,4.95,-16.95,-17.62,-20.24,-9.68
193211,-13.11,-0.4275,-13.1841,-2.7209,-16.194,-1.83,-6.48,-8.88,-9.28,-10.53
193212,-7.72,-6.9549,-11.112,6.8555,-4.4353,5.48,-11.86,-2.03,4.29,5.4
193301,6.36,5.009,8.045,-0.0131,9.6714,-1.6,4.47,2.41,1.58,0.43
193302,-2.95,-17.3761,-20.862,-14.9526,-17.3652,4.26,-17.7,-15.81,-20.74,-14.11
193303,7.54,6.8621,16.0253,0.96,6.8707,2.59,9.23,14.46,5.55,5.51
193304,19.65,40.7625,56.5968,33.766,57.2289,-16.51,57.65,49.27,53.74,29.1
193305,19.19,59.573,73.3276,16.9982,41.6305,-4.31,75.68,67.95,20.79,19.91
193306,-1.78,32.7005,18.324,11.3873,22.2102,4,20.64,21.2,10.07,17.51
193307,3.27,-14.1385,-7.2303,-8.8583,-9.2208,0.1,-10.77,-11.25,-8.76,-8.07
193308,3,10.5585,8.2846,10.5958,18.8615,7.59,9.02,10.42,7.28,21.06
193309,-11.74,-7.6121,-20.857,-9.1454,-19.3866,1.58,-18.48,-15.75,-11.54,-11.11
193310,-8.57,-8.4949,-14.0569,-6.1614,-17.7448,-2.21,-10.53,-13.41,-7.62,-9.16
193311,2.32,4.4492,6.0824,9.69,12.6924,6.1,1.86,6.22,7.82,15.66
193312,-1.56,4.7702,0.41,2.1093,3.3536,4.18,-0.34,1.33,0,6.68
193401,15.59,21.5203,38.4208,9.8669,24.1368,-2.97,38.01,36.1,14.52,10.49
193402,2,-0.2935,5.14,-2.3815,-3.81,-0.29,2.25,2.45,-2.36,-3.14
193403,-2.7,4.7722,-0.0115,-0.0029,-0.62,-0.67,2.65,0.95,-0.02,0.36
193404,-3.73,2.8356,-1.7852,-1.778,-4.616,-4.71,2.67,-1.46,-0.31,-5.6
193405,-5.89,-7.3381,-12.0106,-6.4033,-13.5106,-2.56,-10.25,-12.45,-5.89,-8.81
193406,-2.96,3.7672,-2.3777,2.628,2.8615,-0.96,-1.51,-1.59,3.53,1.69
193407,-10.7,-18.0226,-24.5454,-8.311,-23.179,8.71,-23.8,-18.05,-19.35,-7.7
193408,0.09,10.9235,11.413,6.0718,5.7691,2.48,10.94,14.52,4.24,5.62
193409,-1.2,-0.9255,-3.4898,-0.2597,-0.105,0.06,-2.33,-1.12,1.54,0.44
193410,-5.08,-0.925,-4.1267,-0.4115,-7.369,6.9,-6.77,2.5,-5.12,-0.58
193411,-2.15,17.4218,12.699,10.2402,10.6573,3.83,12.06,16.84,6.36,9.24
193412,-3.14,4.9409,1.6419,0.7507,-2.2372,4.73,0.11,5.97,-2.34,1.27
193501,-1.9,-5.5523,-3.0507,-3.0099,-9.3128,3.72,-5.1,-3.72,-7.22,-1.18
193502,-7.44,-3.5225,-6.2649,-0.8581,-12.9875,13.92,-14.73,-1.21,-11.27,3.03
193503,-5.12,-5.9234,-11.3866,-2.9715,-7.7499,2.49,-12.7,-7.26,-3.04,-3.5
193504,4.47,6.7174,10.6336,8.0311,13.0598,-4.64,15.62,10.12,11.35,7.57
193505,2.65,-2.6657,1.8238,3.137,3.957,-3.62,2.66,1.81,9.42,3.02
193506,-1.69,5.8129,0.7292,6.3821,8.0813,2.35,-0.51,7.2,9.03,6.01
193507,6.93,9.6466,13.5159,6.9882,16.9724,-4.06,13.33,12.49,13.65,6.38
193508,6.08,3.627,14.5997,2.5694,3.7559,-7.17,14.46,5.04,7.02,2.1
193509,-4.07,5.0664,0.4572,4.6757,1.1354,8.95,-0.26,8.81,-4.17,4.67
193510,-2.37,11.0819,6.9363,6.6016,6.013,1.87,9.57,9.87,5.53,8.97
193511,12.06,6.8537,19.5176,3.0389,14.4929,-6.27,21.51,11.18,6.22,4.02
193512,0.95,5.8168,1.9862,2.9835,8.7119,3.78,3.5,10.24,4.54,5.36
193601,10.34,10.6869,22.3858,3.2881,12.2659,-3.33,17.92,12.17,7.19,6.27
193602,4.51,2.3177,6.0122,1.9137,7.246,2.45,3.75,7.53,1.12,2.24
