DATE,DGS10,DGS5,DGS1,BAA,AAA,CORESTICKM159SFRBATL,UNRATE,INDPRO,TERM,CURVE,DEFAULT,INFLATION
1919-01-31,,,,7.12,5.35,,,4.8665,,,-1.7700000000000005,
1919-02-28,,,,7.2,5.35,,,4.6514,,,-1.8500000000000005,
1919-03-31,,,,7.15,5.39,,,4.517,,,-1.7600000000000007,
1919-04-30,,,,7.23,5.44,,,4.5976,,,-1.79,
1919-05-31,,,,7.09,5.39,,,4.6245,,,-1.7000000000000002,
1919-06-30,,,,7.04,5.4,,,4.9203,,,-1.6399999999999997,
1919-07-31,,,,7.06,5.44,,,5.216,,,-1.6199999999999992,
1919-08-31,,,,7.13,5.56,,,5.2967,,,-1.5700000000000003,
1919-09-30,,,,7.27,5.6,,,5.1891,,,-1.67,
1919-10-31,,,,7.34,5.54,,,5.1354,,,-1.7999999999999998,
1919-11-30,,,,7.54,5.66,,,5.0547,,,-1.88,
1919-12-31,,,,7.77,5.73,,,5.1354,,,-2.039999999999999,
1920-01-31,,,,7.78,5.75,,,5.6193,,,-2.0300000000000002,
1920-02-29,,,,7.94,5.86,,,5.6193,,,-2.08,
1920-03-31,,,,7.97,5.92,,,5.5118,,,-2.05,
1920-04-30,,,,8.17,6.04,,,5.216,,,-2.13,
1920-05-31,,,,8.39,6.25,,,5.3505,,,-2.1400000000000006,
1920-06-30,,,,8.39,6.38,,,5.4042,,,-2.0100000000000007,
1920-07-31,,,,8.52,6.34,,,5.2698,,,-2.1799999999999997,
1920-08-31,,,,8.39,6.3,,,5.2967,,,-2.0900000000000007,
1920-09-30,,,,8.14,6.22,,,5.1085,,,-1.9200000000000008,
1920-10-31,,,,7.99,6.05,,,4.8934,,,-1.9400000000000004,
1920-11-30,,,,8.21,6.08,,,4.4901,,,-2.130000000000001,
1920-12-31,,,,8.56,6.26,,,4.2212,,,-2.3000000000000007,
1921-01-31,,,,8.5,6.14,,,3.9792,,,-2.3600000000000003,
1921-02-28,,,,8.42,6.08,,,3.8986,,,-2.34,
1921-03-31,,,,8.55,6.08,,,3.791,,,-2.4700000000000006,
1921-04-30,,,,8.53,6.06,,,3.791,,,-2.4699999999999998,
1921-05-31,,,,8.52,6.11,,,3.8986,,,-2.4099999999999993,
1921-06-30,,,,8.56,6.18,,,3.8717,,,-2.380000000000001,
1921-07-31,,,,8.48,6.12,,,3.8448,,,-2.3600000000000003,
1921-08-31,,,,8.51,5.99,,,3.9792,,,-2.5199999999999996,
1921-09-30,,,,8.34,5.93,,,4.0061,,,-2.41,
1921-10-31,,,,8.34,5.84,,,4.2481,,,-2.5,
1921-11-30,,,,7.88,5.6,,,4.1943,,,-2.2800000000000002,
1921-12-31,,,,7.61,5.5,,,4.1674,,,-2.1100000000000003,
1922-01-31,,,,7.7,5.34,,,4.3288,,,-2.3600000000000003,
1922-02-28,,,,7.55,5.29,,,4.517,,,-2.26,
1922-03-31,,,,7.45,5.23,,,4.7589,,,-2.2199999999999998,
1922-04-30,,,,7.14,5.15,,,4.5976,,,-1.9899999999999993,
1922-05-31,,,,6.89,5.13,,,4.8396,,,-1.7599999999999998,
1922-06-30,,,,6.97,5.08,,,5.0816,,,-1.8899999999999997,
1922-07-31,,,,6.89,5.0,,,5.0816,,,-1.8899999999999997,
1922-08-31,,,,6.85,4.96,,,4.974,,,-1.8899999999999997,
1922-09-30,,,,6.75,4.93,,,5.2429,,,-1.8200000000000003,
1922-10-31,,,,6.78,4.97,,,5.5387,,,-1.8100000000000005,
1922-11-30,,,,6.98,5.09,,,5.7806,,,-1.8900000000000006,
1922-12-31,,,,7.02,5.08,,,5.942,,,-1.9399999999999995,
1923-01-31,,,,6.98,5.04,,,5.8075,,,-1.9400000000000004,
1923-02-28,,,,6.97,5.07,,,5.8882,,,-1.8999999999999995,
1923-03-31,,,,7.09,5.13,,,6.0764,,,-1.96,
1923-04-30,,,,7.17,5.22,,,6.2108,,,-1.9500000000000002,
1923-05-31,,,,7.17,5.16,,,6.2915,,,-2.01,
1923-06-30,,,,7.21,5.15,,,6.2377,,,-2.0599999999999996,
1923-07-31,,,,7.34,5.14,,,6.1839,,,-2.2,
